"logger","sensor","depth","log_start","raw_missing_pct","rmv_pct","total_rows","flag_c","flag_t","flag_l","flag_n","flag_z","flag_.","flag_f","flag_p","flag_s","flag_X","flag_r"
"HBw3A","matric","15","7/25/2023 13:00",0.01,1.03,16271,168,1,0,0,0,0,0,0,0,0,0
"HBw3A","matric","50","7/25/2023 13:00",0.01,1.03,16271,168,1,0,0,0,0,0,0,0,0,0
"HBw3A","matric_temp","15","7/25/2023 13:00",0.01,0,16271,0,1,0,0,0,0,0,0,0,0,0
"HBw3A","matric_temp","50","7/25/2023 13:00",0.01,0,16271,0,1,0,0,0,0,0,0,0,0,0
"HBw3A","satext","15","7/25/2023 13:00",36.97,0,16271,0,1,0,6014,0,0,0,0,0,0,0
"HBw3A","satext","50a","7/25/2023 13:00",33.02,29.12,16271,0,1,0,5372,4738,0,0,0,0,0,0
"HBw3A","satext","50b","7/25/2023 13:00",36.97,13.16,16271,0,1,0,6014,2141,0,0,0,0,0,0
"HBw3A","satext","85","7/25/2023 13:00",41.99,42.7,16271,0,1,80,6831,6947,0,0,0,0,0,0
"HBw3A","vwc","15","7/25/2023 13:00",3.95,0,16271,0,1,0,642,0,1,0,0,0,0,0
"HBw3A","vwc","50b","7/25/2023 13:00",3.95,0,16271,0,1,0,642,0,0,0,0,0,0,0
"HBw3A","vwc","50a","7/25/2023 13:00",0.01,0,16271,0,1,0,0,0,0,0,0,0,0,0
"HBw3A","vwc","85","7/25/2023 13:00",8.97,0,16271,0,1,80,1459,0,0,0,0,0,0,0
"HBw3A","vwc_temp","15","7/25/2023 13:00",3.95,0,16271,0,1,0,642,0,0,0,0,0,0,0
"HBw3A","vwc_temp","50b","7/25/2023 13:00",3.95,0,16271,0,1,0,642,0,0,0,0,0,0,0
"HBw3A","vwc_temp","50a","7/25/2023 13:00",0.01,0,16271,0,1,0,0,0,0,0,0,0,0,0
"HBw3A","vwc_temp","85","7/25/2023 13:00",8.97,0,16271,0,1,80,1459,0,0,0,0,0,0,0
"HBw3B","matric","15","7/24/2023 17:00",0.12,1.03,16291,168,19,0,0,0,0,0,0,0,0,0
"HBw3B","matric","50","7/24/2023 17:00",0.12,1.03,16291,168,19,0,0,0,0,0,0,0,0,0
"HBw3B","matric_temp","15","7/24/2023 17:00",0.12,0,16291,0,19,0,0,0,0,0,0,0,0,0
"HBw3B","matric_temp","50","7/24/2023 17:00",0.12,0,16291,0,19,0,0,0,0,0,0,0,0,0
"HBw3B","satext","15","7/24/2023 17:00",32.98,0,16291,0,19,0,5354,0,0,0,0,0,0,0
"HBw3B","satext","50a","7/24/2023 17:00",32.98,0,16291,0,19,0,5354,0,0,0,0,0,0,0
"HBw3B","satext","50b","7/24/2023 17:00",32.98,0,16291,0,19,0,5354,0,0,0,0,0,0,0
"HBw3B","satext","90","7/24/2023 17:00",32.98,27.78,16291,0,19,0,5354,4526,0,0,0,0,0,0
"HBw3B","vwc","15","7/24/2023 17:00",0.12,0,16291,0,19,0,0,0,1,0,0,0,0,0
"HBw3B","vwc","50a","7/24/2023 17:00",0.12,0,16291,0,19,0,0,0,1,0,0,0,0,0
"HBw3B","vwc","50b","7/24/2023 17:00",0.12,0,16291,0,19,0,0,0,1,0,0,0,0,0
"HBw3B","vwc","90","7/24/2023 17:00",0.12,0,16291,0,19,0,0,0,0,0,0,0,0,0
"HBw3B","vwc_temp","15","7/24/2023 17:00",0.12,0,16291,0,19,0,0,0,0,0,0,0,0,0
"HBw3B","vwc_temp","50a","7/24/2023 17:00",0.12,0,16291,0,19,0,0,0,0,0,0,0,0,0
"HBw3B","vwc_temp","50b","7/24/2023 17:00",0.12,0,16291,0,19,0,0,0,0,0,0,0,0,0
"HBw3B","vwc_temp","90","7/24/2023 17:00",0.12,0,16291,0,19,0,0,0,0,0,0,0,0,0
"HBw3C","matric","10","7/25/2023 14:00",4.25,1.03,16270,168,691,3,0,0,0,0,0,0,0,0
"HBw3C","matric","50","7/25/2023 14:00",4.25,1.03,16270,168,691,3,0,0,0,0,0,0,0,0
"HBw3C","matric_temp","10","7/25/2023 14:00",4.25,0,16270,0,691,3,0,0,0,0,0,0,0,0
"HBw3C","matric_temp","50","7/25/2023 14:00",4.25,0,16270,0,691,3,0,0,0,0,0,0,0,0
"HBw3C","satext","10","7/25/2023 14:00",4.25,1.25,16270,0,691,3,0,204,0,1138,0,0,0,0
"HBw3C","satext","50a","7/25/2023 14:00",4.25,0,16270,0,691,3,0,0,0,0,0,0,0,0
"HBw3C","satext","50b","7/25/2023 14:00",4.25,0,16270,0,691,3,0,0,0,0,0,0,0,0
"HBw3C","satext","90","7/25/2023 14:00",4.25,0,16270,0,691,3,0,0,0,0,0,0,0,0
"HBw3C","vwc","10","7/25/2023 14:00",4.25,0,16270,0,691,3,0,0,3,1138,0,0,0,0
"HBw3C","vwc","50a","7/25/2023 14:00",4.25,0,16270,0,691,3,0,0,3,0,2,0,0,0
"HBw3C","vwc","50b","7/25/2023 14:00",4.25,0,16270,0,691,3,0,0,2,0,4,0,0,0
"HBw3C","vwc","90","7/25/2023 14:00",4.25,0,16270,0,691,3,0,0,3,0,0,0,0,0
"HBw3C","vwc_temp","10","7/25/2023 14:00",4.25,0,16270,0,691,3,0,0,0,0,0,0,0,0
"HBw3C","vwc_temp","50a","7/25/2023 14:00",4.25,0,16270,0,691,3,0,0,0,0,0,0,0,0
"HBw3C","vwc_temp","50b","7/25/2023 14:00",4.25,0,16270,0,691,3,0,0,0,0,0,0,0,0
"HBw3C","vwc_temp","90","7/25/2023 14:00",4.25,0,16270,0,691,3,0,0,0,0,0,0,0,0
"HBw3D","matric","15","7/24/2023 14:00",1.11,1.03,16294,168,181,0,0,0,0,0,0,0,0,0
"HBw3D","matric","50","7/24/2023 14:00",1.11,1.03,16294,168,181,0,0,0,0,0,0,0,0,0
"HBw3D","matric_temp","15","7/24/2023 14:00",1.11,0,16294,0,181,0,0,0,0,0,0,0,0,0
"HBw3D","matric_temp","50","7/24/2023 14:00",1.11,0,16294,0,181,0,0,0,0,0,0,0,0,0
"HBw3D","satext","15","7/24/2023 14:00",1.11,0,16294,0,181,0,0,0,0,0,0,0,0,0
"HBw3D","satext","50a","7/24/2023 14:00",1.11,0,16294,0,181,0,0,0,0,0,0,0,0,0
"HBw3D","satext","50b","7/24/2023 14:00",1.11,0,16294,0,181,0,0,0,0,0,0,0,0,0
"HBw3D","satext","87","7/24/2023 14:00",1.11,37.58,16294,0,181,0,0,6124,0,0,0,0,0,0
"HBw3D","vwc","15","7/24/2023 14:00",1.11,0,16294,0,181,0,0,0,2,0,1,0,0,0
"HBw3D","vwc","50a","7/24/2023 14:00",1.11,0,16294,0,181,0,0,0,0,0,0,0,0,0
"HBw3D","vwc","50b","7/24/2023 14:00",1.11,0,16294,0,181,0,0,0,0,0,0,0,0,0
"HBw3D","vwc","87","7/24/2023 14:00",1.11,0,16294,0,181,0,0,0,0,0,0,0,0,0
"HBw3D","vwc_temp","15","7/24/2023 14:00",1.11,0,16294,0,181,0,0,0,0,0,0,0,0,0
"HBw3D","vwc_temp","50a","7/24/2023 14:00",1.11,0,16294,0,181,0,0,0,0,0,0,0,0,0
"HBw3D","vwc_temp","50b","7/24/2023 14:00",1.11,0,16294,0,181,0,0,0,0,0,0,0,0,0
"HBw3D","vwc_temp","87","7/24/2023 14:00",1.11,0,16294,0,181,0,0,0,0,0,0,0,0,0
"HBw6A","matric","15a","7/25/2023 17:00",0.01,1.03,16266,168,2,0,0,0,0,0,0,0,0,0
"HBw6A","matric","15b","7/25/2023 17:00",0.01,1.03,16266,168,2,0,0,0,0,0,0,0,0,0
"HBw6A","matric_temp","15a","7/25/2023 17:00",0.01,0,16266,0,2,0,0,0,0,0,0,0,0,0
"HBw6A","matric_temp","15b","7/25/2023 17:00",0.01,0,16266,0,2,0,0,0,0,0,0,0,0,0
"HBw6A","satext","15a","7/25/2023 17:00",90.45,0,16266,0,2,0,14710,0,0,0,0,0,0,0
"HBw6A","satext","15b","7/25/2023 17:00",90.45,0,16266,0,2,0,14710,0,0,0,0,0,0,0
"HBw6A","satext","15c","7/25/2023 17:00",90.45,0,16266,0,2,0,14710,0,0,0,0,0,0,0
"HBw6A","satext","15d","7/25/2023 17:00",90.45,0,16266,0,2,0,14710,0,0,0,0,0,0,0
"HBw6A","vwc","15d","7/25/2023 17:00",0.01,0,16266,0,2,0,0,0,2,0,0,0,0,0
"HBw6A","vwc","15a","7/25/2023 17:00",0.01,0,16266,0,2,0,0,0,0,0,0,0,0,0
"HBw6A","vwc","15b","7/25/2023 17:00",0.01,0,16266,0,2,0,0,0,0,0,0,0,0,0
"HBw6A","vwc","15c","7/25/2023 17:00",0.01,0,16266,0,2,0,0,0,0,0,0,0,0,0
"HBw6A","vwc_temp","15a","7/25/2023 17:00",0.01,0,16266,0,2,0,0,0,0,0,0,0,0,0
"HBw6A","vwc_temp","15b","7/25/2023 17:00",0.01,0,16266,0,2,0,0,0,0,0,0,0,0,0
"HBw6A","vwc_temp","15c","7/25/2023 17:00",0.01,0,16266,0,2,0,0,0,0,0,0,0,0,0
"HBw6A","vwc_temp","15d","7/25/2023 17:00",0.01,0,16266,0,2,0,0,0,0,0,0,0,0,0
"HBw6B","matric","15","7/25/2023 18:00",33.36,1.03,16265,168,3897,2,1529,0,0,0,0,2,0,0
"HBw6B","matric","50","7/25/2023 18:00",35.11,1.03,16265,168,3897,2,1814,0,0,0,0,1,0,0
"HBw6B","matric_temp","15","7/25/2023 18:00",33.36,0,16265,0,3897,53,1529,0,0,0,0,2,0,0
"HBw6B","matric_temp","50","7/25/2023 18:00",35.11,0,16265,0,3897,53,1814,0,0,0,0,1,0,0
"HBw6B","satext","15","7/25/2023 18:00",99.68,0,16265,0,3897,52,12316,0,0,0,0,0,0,0
"HBw6B","satext","50a","7/25/2023 18:00",99.69,0,16265,0,3897,51,12317,0,0,0,0,0,0,0
"HBw6B","satext","50b","7/25/2023 18:00",99.69,0.31,16265,0,3897,51,12317,50,0,0,0,0,0,0
"HBw6B","satext","75","7/25/2023 18:00",99.99,0,16265,0,3897,1,12367,0,0,0,0,1,0,0
"HBw6B","vwc","15","7/25/2023 18:00",33.36,0,16265,0,3897,54,1529,0,1,0,0,1,0,0
"HBw6B","vwc","50a","7/25/2023 18:00",33.37,0,16265,0,3897,53,1531,0,2,0,0,1,0,0
"HBw6B","vwc","50b","7/25/2023 18:00",35.12,0,16265,0,3897,53,1815,0,3,0,0,1,0,0
"HBw6B","vwc","75","7/25/2023 18:00",35.42,0,16265,0,3897,3,1864,0,0,0,0,2,0,0
"HBw6B","vwc_temp","15","7/25/2023 18:00",33.36,0,16265,0,3897,54,1529,0,0,0,0,1,0,0
"HBw6B","vwc_temp","50a","7/25/2023 18:00",33.37,0,16265,0,3897,53,1531,0,0,0,0,1,0,0
"HBw6B","vwc_temp","50b","7/25/2023 18:00",35.12,0,16265,0,3897,53,1815,0,0,0,0,1,0,0
"HBw6B","vwc_temp","75","7/25/2023 18:00",35.42,0,16265,0,3897,3,1864,0,0,0,0,2,0,0
"HBw6C","matric","17","7/26/2023 17:00",0.01,1.03,16241,168,1,0,0,0,0,0,0,0,0,0
"HBw6C","matric","50","7/26/2023 17:00",0.01,1.03,16241,168,1,0,0,0,0,0,0,0,0,0
"HBw6C","matric_temp","17","7/26/2023 17:00",0.01,0,16241,0,1,0,0,0,0,0,0,0,0,0
"HBw6C","matric_temp","50","7/26/2023 17:00",0.01,0,16241,0,1,0,0,0,0,0,0,0,0,0
"HBw6C","satext","17","7/26/2023 17:00",90.57,0,16241,0,1,0,14708,0,0,0,0,0,0,0
"HBw6C","satext","30","7/26/2023 17:00",93.52,0,16241,0,1,0,15187,0,0,0,0,0,0,0
"HBw6C","satext","50a","7/26/2023 17:00",93.52,0,16241,0,1,0,15187,0,0,0,0,0,0,0
"HBw6C","satext","50b","7/26/2023 17:00",90.57,0,16241,0,1,0,14708,0,0,0,0,0,0,0
"HBw6C","vwc","17","7/26/2023 17:00",0.01,0,16241,0,1,0,0,0,1,0,0,0,0,0
"HBw6C","vwc","30","7/26/2023 17:00",2.96,0,16241,0,1,0,479,0,0,0,0,0,0,0
"HBw6C","vwc","50a","7/26/2023 17:00",2.96,0,16241,0,1,0,479,0,3,0,0,0,0,0
"HBw6C","vwc","50b","7/26/2023 17:00",0.01,0,16241,0,1,0,0,0,0,0,0,0,0,0
"HBw6C","vwc_temp","17","7/26/2023 17:00",0.01,0,16241,0,1,0,0,0,0,0,0,0,0,0
"HBw6C","vwc_temp","30","7/26/2023 17:00",2.96,0,16241,0,1,0,479,0,0,0,0,0,0,0
"HBw6C","vwc_temp","50a","7/26/2023 17:00",2.96,0,16241,0,1,0,479,0,0,0,0,0,0,0
"HBw6C","vwc_temp","50b","7/26/2023 17:00",0.01,0,16241,0,1,0,0,0,0,0,0,0,0,0
"HBw6D","matric","19","7/27/2023 10:00",0.01,1.04,16224,168,1,0,0,0,0,0,0,0,0,0
"HBw6D","matric","50","7/27/2023 10:00",0.01,1.04,16224,168,1,0,0,0,0,0,0,0,0,0
"HBw6D","matric_temp","19","7/27/2023 10:00",0.01,0,16224,0,1,0,0,0,0,0,0,0,0,0
